,h3 filter,h2 filter,p filter,div filter,h1 filter,span filter,li filter,h3 coil,h2 coil,p coil,div coil,h1 coil,span coil,li coil,h3 fan,h2 fan,p fan,div fan,h1 fan,span fan,li fan,h3 repair,h2 repair,p repair,div repair,h1 repair,span repair,li repair,h3 maintenance,h2 maintenance,p maintenance,div maintenance,h1 maintenance,span maintenance,li maintenance
0,"
      PTAC Front Filters
     ",,"
      Clean PTAC air filters at least once each month, or more often in a new facility or one with new carpeting. Clogged filters can cause major damage to your PTAC system components. In fact, dirty filters can decrease HVAC operating efficiency by as much as 20% while reducing energy costs.
     ",,,,,"
       PTAC Indoor Evaporator Coil
      ",,"
       3. Inspect the evaporator coil for debris.
      ",,,,,,,,,,,,,,,,,,,,"
      PTAC Monthly Maintenance
     ","
     Maintenance Guide
    ",,,,
1,"
       PTAC Outdoor Vent Filter
      ",,"
      To clean the PTAC filter:
     ",,,,,"
       PTAC Outdoor Condenser Coil & Base Pan
      ",,"
       If you are worried about fungus or debris falling into a coil, insert a piece of cardboard between the blower wheel and the opening in the blower scroll.
      ",,,,,,,,,,,,,,,,,,,,"
       PTAC Seasonal Maintenance
      ","
       To conduct this PTAC maintenance:
      ",,,,
2,,,"
       2. Remove the PTAC filters (for some PTACs, you may need to remove the front panel to access the filters).
      ",,,,,,,"
       Dirty outdoor coils can increase your heating and cooling bills while decreasing the life of your PTAC units. PTACs located on lower floors tend to get dirtier than PTACs on upper floors and should be checked seasonally.
      ",,,,,,,,,,,,,,,,,,,,"
       PTAC Post-Maintenance Check: Clearance and Operation
      ","
       Checking your wall sleeve can be done while completing any of the other seasonal PTAC maintenance steps when your PTAC is removed from the wall.
      ",,,,
3,,,"
       3. Vacuum accumulated dust and dirt off the filters.
      ",,,,,,,"
       Outdoor coils on these PTACs may need to be cleaned more often to prevent premature failure of the compressor. This is especially true if the PTACs are exposed to construction sites, freeways, flowering trees and other pollutants.
      ",,,,,,,,,,,,,,,,,,,,"
        Keeping Track of PTAC Maintenance
       ","
       After performing maintenance on your PTAC unit, verify it is operating properly.
      ",,,,
4,,,"
       4. Discard damaged filters.
      ",,,,,,,"
       4. Remove plastic shroud to access the PTAC coils and base pan. Check the inside of the condenser coil for dirt or soot buildup.
      ",,,,,,,,,,,,,,,,,,,,,"
        It is important to keep track of the maintenance performed on each PTAC unit in your facility. That way, when responsibilities or staff change, other members can see what has been completed and what is next on the list.
       ",,,,
5,,,"
       5. Rinse filters under running water.
      ",,,,,,,"
       6. Apply a mild coil cleaner to coils and base pan with a spray bottle and rinse out using a hose with a spray attachment.
      ",,,,,,,,,,,,,,,,,,,,,,,,,
6,,,"
       6. Return filters to the PTAC and replace discarded filters with new ones. Complete this before plugging in and turning on the PTAC.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,"
       Keeping extra filters on hand will reduce potential heating and/or cooling downtime. You can trade them in to replace the dirty filters and have your PTACs running right away. Afterward, clean your dirty PTAC filters so they are ready for the next replacement cycle.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,"
       If your PTAC unit operates with the outdoor vents open, clean the vent filter monthly to ensure it operates as efficiently as possible. This will keep air flowing freely. If the vents are closed, cleaning is not needed.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,"
       To clean the PTAC’s outdoor vent filter:
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,"
       3. Pull the PTAC from the sleeve and remove the filter.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,"
       4. Vacuum accumulated dust and dirt off the filter.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,"
       5. Rinse the filter with running water and allow it to dry completely.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,"
       7. Replace the filter and slide the PTAC back into the sleeve.
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,"
       An air filter with dust and dirt on it can cause operational problems. To clean the PTAC:
      ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
