,h3 filter,h2 filter,p filter,div filter,h1 filter,span filter,li filter,h3 coil,h2 coil,p coil,div coil,h1 coil,span coil,li coil,h3 fan,h2 fan,p fan,div fan,h1 fan,span fan,li fan,h3 repair,h2 repair,p repair,div repair,h1 repair,span repair,li repair,h3 maintenance,h2 maintenance,p maintenance,div maintenance,h1 maintenance,span maintenance,li maintenance
0,,,"Every PTAC manufacturer recommends a complete cleaning at least once per year or more, if local conditions warrant.  In dusty or corrosive environments such as near construction sites or salt water, cleaning must be performed more often, up to four times a year.  In addition to cleaning PTAC’s filters, fans, fan shrouds, drain passages and base pan, the all important coils must be thoroughly cleaned.",,,,,,,"PTACs are self contained and are installed through the exterior wall of the building by means of a standard size wall sleeve.  They have both an evaporator coil and a condensing coil as well as a compressor – they’re basically a complete climate control system in a box.  Just like any other climate control system to ensure efficiency, PTACs require maintenance and cleaning including coil cleaning.",,,CoilShot Condenser Cleaner,CoilShot Condenser Cleaner,,,"Every PTAC manufacturer recommends a complete cleaning at least once per year or more, if local conditions warrant.  In dusty or corrosive environments such as near construction sites or salt water, cleaning must be performed more often, up to four times a year.  In addition to cleaning PTAC’s filters, fans, fan shrouds, drain passages and base pan, the all important coils must be thoroughly cleaned.",,,,,,,,,,,,,,"PTACs are self contained and are installed through the exterior wall of the building by means of a standard size wall sleeve.  They have both an evaporator coil and a condensing coil as well as a compressor – they’re basically a complete climate control system in a box.  Just like any other climate control system to ensure efficiency, PTACs require maintenance and cleaning including coil cleaning.",,,Ductless Mini-Split Maintenance Guide,Ductless Mini-Split Maintenance Guide
1,,,,,,,,,,CoilJet Cleaning PTAC,,,CoilJet Coil Cleaner,CoilJet Coil Cleaner,,,,,,,,,,,,,,,,,PTAC Maintenance,,,,
2,,,,,,,,,,"Every PTAC manufacturer recommends a complete cleaning at least once per year or more, if local conditions warrant.  In dusty or corrosive environments such as near construction sites or salt water, cleaning must be performed more often, up to four times a year.  In addition to cleaning PTAC’s filters, fans, fan shrouds, drain passages and base pan, the all important coils must be thoroughly cleaned.",,,CoilJet CJ-200E Coil Cleaner,CoilJet CJ-200E Coil Cleaner,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,FlowJet Coil Cleaner System,FlowJet Coil Cleaner System,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,SpeedyFoam Coil Cleaner,SpeedyFoam Coil Cleaner,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,Dry Steam Coil & Surface Cleaner,Dry Steam Coil & Surface Cleaner,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,Contractor Coil Cleaning Guide,Contractor Coil Cleaning Guide,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,CoilJet CJ-125,CoilJet CJ-125,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,CoilJet CJ-200E,CoilJet CJ-200E,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,CoilShot Coil Cleaning System,CoilShot Coil Cleaning System,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,SC-VSC-7000 Dry Steam Coil Cleaner,SC-VSC-7000 Dry Steam Coil Cleaner,,,,,,,,,,,,,,,,,,,,,
