model,manufacturer
AZC212EBV1,General Electric
PTH073E35AXXXAC,Amana
CAF16C124-D10AS,Comitale National Inc
EZ12E216F4A1JVZ,Islandaire
EZ12A216F4A14AT,Islandaire
EZ12E245F4A1CPZ,Islandaire
EZ09E216F4A1AJZ,Islandaire
Unknown,Ted Reed Thermal
PTHC0701EBA,Trane
AZ22E12E4BM1,General Electric
AZ25E12E4BM1,General Electric
VTC183A08AA,Amana
PTC094B25AMBP,Amana
PTC094E25AXXXAB,Amana
PTC074B25AE,Amana
PTC074G25AXXXAA,Amana
PTC094825AMBP,Amana
PTC074A25AC,Amana
PTC094B25AMP,Amana
PTC024B2AE,Amana
PTC074B25AG,Amana
PTC094E25AXXXXAB,Amana
PTC094D25ARDA,Amana
PTC074A25AL,Amana
PTC094AB25AMBP,Amana
AZ28E09DAC,General Electric
AJEQ08ACFL1,General Electric
PTC094B35AM,Amana
AZ39H15DABM1,General Electric
PBE123G35CB,General Electric
PDH07K3SG,Friedrich
AZ23H09D3BM2,General Electric
PTH074G25AXXXAA,Amana
PTAC12B-208,McQuay
Unknown,Comitale National Inc
PTC154E35AXXXAA,Amana
PTC124C35AMCA,Amana
PTC154G35AXXXAA,Amana
PTC154E35AXXXAC,Amana
PTC154G50AXXXAA,Amana
PTA15E6AMBCP3SA,ClimateMaster
PTC123C35AMBP,Amana
AZ41E12DABW2,General Electric
PBH092G12CB,Amana
PTH153G50AXXX,Amana
PTH073G35AXXX,Amana
PTC154B50AM,Amana
PDH07R3SG,Friedrich
PDE12R3SG,Friedrich
PTC094G35AXXXAA,Amana
PTH124G35AXXXAA,Amana
PTC093E25A,Amana
PTH124B35AE,Amana
PTH094A25AA,Amana
PTC094G35AX,Amana
PDE12K3SD,Friedrich
PTA09E5AMBCP3SA,ClimateMaster
PTH074A35AA,Amana
PTH124B35AMBP,Amana
PTH124A35AB,Amana
EZ4209B2C1S45AA,Islandaire
PTH123G25AXXX,Amana
DLII-0912ET,Suburban
52CE-309---4,Carrier
EZ09A2GSP1S44AA,Islandaire
DL3-0912EN,Suburban
81615,ClimateMaster
81620,ClimateMaster
PTH153G25AXXX,Amana
MSYD36NA,Mitsubishi
PTC093D25AR,Amana
AZ32H09D5BM1,General Electric
AZ32H09D5BM2,General Electric
PTH123E50AXXXAC,Amana
PTH123B50AE,Amana
PTC123G50AXXXAA,Amana
AJCS09DCM1,General Electric
AJCQ09DCEL1,General Electric
PTH093B50AE,Amana
52CQB515331AA,Carrier
PTC153E35AXXXAC,Amana
PE15K5SA-5,Friedrich
12SPXR5-HP-A,First Co.
Unknown,American Standard
PTH123E50AXXXAB,Amana
PZH12K3SA,Friedrich
AJEQ12DCF,General Electric
EZ2612A5A1S44AA,Islandaire
52PEB515331AA,Carrier
PTH123B50AJ,Amana
PTC123E50AXXXAC,Amana
EZ12E2GSP1S44AA,Islandaire
EZ12E2GSS1S14AA,Islandaire
DL3-0912,Suburban
PTH093B35AJ,Amana
PTH093G35AXXXAB,Goodman
PTH123A50AA,Amana
FVC0400259084,International Environmental Corp.
FVC0400259083,International Environmental Corp.
PTC094B50AMBP,Amana
PTC094B35AE,Amana
TRC09BGCAMSCFLS,ClimateMaster
FVC0400257014,International Environmental Corp.
803030GUSSBTCOA,Friedrich
803036GUSSBTCOA,Friedrich
804025GUSFRSCOA,Friedrich
PTC123C35AMCA,Amana
AZ28E09DABM4,General Electric
52SQE309301RC,Carrier
FRP15PTV2R,Frigidaire
ATE0943SPP-0,Whirlpool
PTC153G50AXXXAA,Amana
AZ31H09D3CV6,General Electric
PH15K3SB-3,Friedrich
PH09K3SA-1,Friedrich
804019GUSFRSCOA,Friedrich
804019GUSFRENON,Friedrich
THC15K34STC,Friedrich
PZE12R3SA,Friedrich
FVC0400279584,International Environmental Corp.
PDH07K3SF-A,Friedrich
AZC509DBV1,General Electric
PTC093B35AUBM,Amana
YSC048A4ELA0000,Trane
18SPXR8-HP-A,First Co.
FRA106HT2,Frigidaire
EZ09H8RMC1A1FPX,Islandaire
ARUF486016CA,Amana
FVC0400259081,International Environmental Corp.
PTEC0901GAA,Trane
52SED207301CP,Carrier
52SEE209301RC,Carrier
AZC309DBV1,General Electric
AZC506DBV1,General Electric
AZC515DBV2,General Electric
52SED307301AA,Carrier
52CEF207351AA,Carrier
PTC123E25AXXXAC,Amana
52CEE207331AA,Carrier
PTH093G25AXXXAB,Amana
PTH093G25AXXXAA,Amana
52SEC314301AA,Carrier
NE15C5D,Snyder General
PH12K3SB-3,Friedrich
52SEE209301AA,Carrier
PDH15K5SD-B,Friedrich
PBC123E00BXAA,Amana
VPHP12D51DABLQB,Retroaire
AZ25E09D5BM1,General Electric
PTC094E50AXXXAB,Amana
PTH153G50AXXXAA,Amana
PTC093E50AXXXAB,Amana
PTC093G50AXXXAA,Amana
AZ29E07DABM1,General Electric
PTH123B35AA,Amana
PTC123B50AJ,Amana
AZ85E12DACW1,General Electric
AZ32H09D3CM1,General Electric
PTC123A25AB,Amana
52SED209301AA,Carrier
36HWC181-5,Magic Pak
FVC0400259087,International Environmental Corp.
51HWC243A-2B,Magic Pak
52CQE207351RC,Carrier
52MQAU07301AA,Carrier
PTH073E25AXXXAC,Amana
AZR5E12DACW1,General Electric
PTC094G35AXXXAB,Amana
PTC154B50AE,Amana
PTC154B50AM,Goodman
PTH073G25AXXXAA,Amana
52CQC309351RC,Carrier
PTH073D25ARDA,Amana
PTH123D35AXXXAC,Amana
5200E237351RC,Carrier
PTH153E50AXXXAC,Goodman
LSN121HSV2,LG
LSU121HSV2,LG
TEC12K50RTC,Friedrich
VUVB15020E0FAC0000011AA100001110,Trane
PTC153E50AXXXAA,Amana
PTC153D50ARDA,Amana
AJCQ10DCFL1,General Electric
AJCQ16DCDW2,General Electric
52CQE207351AA,Carrier
AJCQ14DCM3,General Electric
AJCS09DCCM2,General Electric
PTEC0901GBA,Trane
PTEC1201GBA,Trane
AJCQ10DCDW1,General Electric
AJCS09DCBM1,General Electric
52CQC309331RC,Carrier
PTEC1501JBA,Trane
36HWC181-10,Magic Pak
PTHC1201GBA,Trane
PTHC0901GBA,Trane
PTH093A35AB,Amana
PTH073B35AM,Amana
PTH073B35AJ,Amana
PTH093B25AMBP,Amana
52SQD209301RC,Carrier
PTH093E25AXXXAC,Amana
52CQC312351RC,Carrier
AZ22E12D3BM1,General Electric
AZ22E12D2BM1,General Electric
PTH093B50AMBP,Amana
AZ22E12D3BM3,General Electric
PZE07K3SA,Friedrich
52MQAUG7301AA,Carrier
PH12K3SC-A,Friedrich
YFD180E3HCAA,American Standard
52CEC312351RC,Carrier
PH12K3SC-R,Friedrich
AZ61H09DABW2,General Electric
52MQAU12301AA,Carrier
LP091CEM-Y8,LG
AZ61H15DABM1,General Electric
AZC506DBV2,General Electric
AZC515DBV1,General Electric
LP096CD3B,LG
PTC153E25AXXXAA,Amana
AZ25E09DBM1,General Electric
AJES10DCB,General Electric
AZ41E09DABW5,General Electric
Unknown,Bryant
TEC15K50RTC,Friedrich
PTC123A50AA,Amana
PDE12K5SD-C,Friedrich
THC09K34STB,Friedrich
PTC123G35AXXXAAB,Amana
LWHD8008RY9,LG
PZH09K3SA,Friedrich
52MQAU09301AA,Carrier
PTED0901GCA,Trane
51HWC182-5A,Magic Pak
26HWC122-5A,Magic Pak
THC12K34STC,Friedrich
64HWC302A-8D,Armstrong Air
PDH12K3SE-A,Friedrich
PTH073A25CC,Amana
PTH093A35CC,Amana
PTC093G50AXXXAB,Amana
PTC093E50AXXXAC,Amana
THC12K50STC,Friedrich
52MQBU07301CP,Carrier
DB-1350D11OEZ14,Dura-Max
AJCQ12DCFW1,General Electric
Unknown,Amana
52CQC212351AA,Carrier
STW1225H2,Sanyo
52SQA309301RC,Carrier
52SQC207301RC,Carrier
FFRE18L3Q2,Frigidaire
PTC09G35AXXXAB,Amana
AZ31H09D5CV3,General Electric
26HWC122-3A,Magic Pak
MEA03102A,McQuay
PDH09K3SBA,Friedrich
THC07K34STB,Friedrich
64HWC302A-8E,Armstrong Air
THC07K34STR,Friedrich
52CQF207351RC,Carrier
PTH123A50B,Amana
52SEC312301RC,Carrier
52SEC314301RC,Carrier
THC09K25STC,Friedrich
AZ28E12DAC,General Electric
PTH123A50AB,Amana
580.730833,Kenmore
52CQC312331RC,Carrier
PBC092E00BXAA,Amana
PTH123B50AMBP,Amana
PH09K3SB-3,Friedrich
AZ22E12D2BM3,General Electric
PTH093D25ARDA,Amana
MQE012DO3325M1Y,McQuay
MQE009D03325M1Y,McQuay
MQE015D03325M1Y,McQuay
PTH123A25DB,Amana
AJCM12DCEW1,General Electric
AJCM12DCFW1,General Electric
PTC093B50AJ,Amana
PTC093B50AE,Amana
PTC093A35BC,Amana
PBC093E00BXAA,Amana
AJCQ10DCDW2,General Electric
PTH123D35AXXXAB,Amana
PTH093E25CXXXAB,Amana
DRYC123B25CMAB,Amana
PTW0923H3G,PremAire
VHA18K50RTL-8,Friedrich
PTH093B25ARBR,Amana
PZE09K3SA,Friedrich
EZ09A216F7A10XB,Islandaire
EZ09E216F7A10XB,Islandaire
PTW0223H3G,PremAire
52SEC212301RC,Carrier
AZ28E15EABM1,General Electric
AZ41E15EABM1,General Electric
PTC123D25ARDA,Amana
1PAMSH36-SZW-14.5,Perfect Aire
A6D24E7C,Islandaire
EZ09E216F7S10XB,Islandaire
HWH012CEGS,Snyder General
EZ09E216F7S10RX,Islandaire
PTH073B35AK,Amana
PTH123B35AXXXCA,Amana
ENR0,McQuay
LT1010CRY6,LG
EZ04E216F7-815XX,Islandaire
AZ26E06DBCV1,General Electric
VHA18K34RTL-B,Friedrich
PTC093G35AXXAB,Amana
TEC07K34RTC,Friedrich
TEC09K34RTC,Friedrich
52MQBU07301AA,Carrier
VHA18K34RTH-3,Friedrich
PZE12K3SA,Friedrich
AJM10AAV1,General Electric
PTH073A35AB,Amana
52CQC307331AA,Carrier
AQF3301MBX,General Electric
AQF3302SBX,General Electric
AQF3421MBX,General Electric
AQF3422MBX,General Electric
CR308C1042TADTBB,General Electric
CR306ML203AG,General Electric
CR306ML204AG,General Electric
MSB,General Electric
THPR3616B,General Electric
ADS32060HD,General Electric
ADS32100HD,General Electric
ADS32200HD,General Electric
ADS32600HD,General Electric
M74791,Bell & Gossett
M74794,Bell & Gossett
R-410A,McQuay
SCEA12K50I8A11,Applied Comfort Products
70215B5ACC0080E,ClimateMaster
EZ12E2CMC1A1TVZ,Islandaire
SCEA12K50I8A01,Applied Comfort Products
EZRM12A3E1A14AA,Islandaire
VHA18K34RTL-A,Friedrich
VHA18K50RTL,Friedrich
THC12K34STB,Friedrich
PTH093B50AJ,Amana
52SED207401CP,Carrier
LT1210CRY6,LG
52SED207401RC,Carrier
LT1214CNR,LG
FFRE08L3Q1,Frigidaire
LT1213CNR,LG
AZ58H09DACM1,General Electric
52CEF207451AA,Carrier
EZ12A3CME1A14AC,Islandaire
70212G2ACCOOSOE,Friedrich
CTPIOC124-B10AS,Comitale National Inc
70215B5ACCOOSOE,ClimateMaster
EZ12E2CMC1A14AC,Islandaire
EZ12E2RMC1A1JUZ,Islandaire
EZRM12A3E1A15AA,Islandaire
PTH153A35AB,Amana
PTC093G35AXXXBA,Amana
AJCQ08ACF,General Electric
AZ41E15DABM3,General Electric
AJM1QAAVT,General Electric
VI-A-301-1,Whalen
PTH123A35AC,Amana
LT1234HNR,LG
LT1234CNR,LG
52SEE209401CP,Carrier
EZ12E3CME1A14AC,Islandaire
EZRM12E3RMD1A1JUZ,Islandaire
MS7-CI-09L1A,Lennox
VHR18K34RTH-3,Friedrich
CCH015AMGS,McQuay
EZ12E2CMC1A14AT,Islandaire
7021505ACCOOSOE,ClimateMaster
VHA18K34RTJ-A,Friedrich
52MQBU07401AA,Carrier
VHA18K34RTD-3,Friedrich
PTH074,Amana
EZRM12ASE1A14AA,Islandaire
AZR209DBV1,General Electric
PTEC150GGAA,Trane
PTH124,Amana
PTH153A50AA,Amana
52CEC512351AA,Carrier
AZ22E15D5BM2,General Electric
AZ28E09DAPM2,General Electric
52FE6312321EC,Carrier
FAH105N2T,Frigidaire
FAH096J2T3,Frigidaire
FAH106N2T1,Frigidaire
AJCH12DCBM1,General Electric
LT103CNR,LG
TC10090W2,Amana
K1211W,Sanyo
Unknown,York
AH084K2T1,Frigidaire
WAH084P2T1,White Westinghouse
52CEC207441CP,Carrier
Unknown,Singer
PTC074E25AXXXAB,Amana
TW2000H,Emerson
LW1810ER,LG
AJCS08ACC,General Electric
MQE09EG3SL1F,McQuay
PTC074G25AXXXAB,Amana
52SEC207401CP,Carrier
CFH003A-1,McQuay
EZ12A3RMD1A14AT,Islandaire
EZ12E3RMD1A1JUZ,Islandaire
STB1023C1,Sanyo
PTC074B35AM,Amana
AZR212DBV1,General Electric
AZ38H07DAB,General Electric
AZ41E07DABM2,General Electric
GU1D070CA4D,Amana
AZR212DBV2,General Electric
A1K32E7B,Fedders
AZ52H12DADM1,General Electric
NE9C5C,McQuay
51PH2093,Carrier
PTH093A150B,Amana
PTH073A150B,Amana
AZ51H09DBDV1,General Electric
LT1030HR,LG
LT123CNR,LG
MSC424A13230EA,Thermal Zone
PTC094E35AXXXAC,Amana
PDE12K3SD-A,Friedrich
PTEC0701GBA,Trane
PTC123D35AXXXAB,Amana
PTH073A15DB,Amana
PSHS1007EZ35Z12A,McQuay
PTH093A15DB,Amana
PTC153B35AG,Amana
MQR015DO321SL1Y,McQuay
NR9C5C,McQuay
AZ51H12DBDV1,General Electric
PTA09G1AMBDC3SD,ClimateMaster
PTC093A35MA,Amana
A6V10S2B,Fedders
AZ52H09DABM1,General Electric
PTED1501JAA,Trane
PTEC1501JCA,Trane
PTC073B35A,Amana
PTC073B35AJ,Amana
LW6014ER,LG
AET05LJG1,General Electric
AET052JG1,General Electric
LW8013ER,LG
PBH093E35BB,Amana
EK12J33,Friedrich
PTH123G35AXXXCA,Amana
253.71055,Kenmore
PDE12K3SD-C,Friedrich
GWHD5000,GoldStar
18SPX5,First Co.
12SPX3,First Co.
12SPX5,First Co.
18SPX3,First Co.
PTH073A35AA,Amana
52BQA212301AA,Carrier
81620GSMSSCOJ,ClimateMaster
81615GSMSSCOG,ClimateMaster
81615GSMSSCOQ,ClimateMaster
PTC123G35AXXXBA,Amana
AP14000,Shinco
MQR012DO321SL1Y,McQuay
PTA12G1AMBCC3SA,ClimateMaster
52SQD207301RC,Carrier
PTA07G1AMBCC3SA,ClimateMaster
AJCS12DCB,General Electric
PTHP12C208KXBA,McQuay
DCG0902103BXXXAA,Daikin
Unknown,White Westinghouse
52CE-209---3,Carrier
MQR007D0321SL1Y,McQuay
MQR009D0321SL1Y,McQuay
AZ22E15D3BM2,General Electric
MQR01500321SL1Y,McQuay
GCH012BEC30CLSS,ClimateMaster
WSP30D020AA000B,Rheem/Ruud
EZ2612A9A1S44AA,Islandaire
EC036-4H2C,FHP
RRGF-20012LKR,Rheem/Ruud
BKMD-053C-020,Rheem/Ruud
VZR209DBV1,General Electric
PTC123B50AG,Amana
LP091HEM,LG
LW1515ER,LG
LW1512ER,LG
GSH130241BB,Goodman
RKNLB090CL15EAJA,Rheem/Ruud
52MEAU15301AA,Carrier
PTA09G1AMBCC3SA,ClimateMaster
PTH073A25AB,Amana
PTH093G35AXXXCA,Amana
PTC094G35AXXXBA,Amana
PZH12R3SA,Friedrich
AZ31H12D2CV3,General Electric
AZ31H15D3CV6,General Electric
RM-A05-3-0-BK01-322,AAON
EC070-4VTC,FHP
VTC183B03AA,Amana
EZ12H88SA1A1XAA,Islandaire
SKG4000DOO,EMI
PBH113G35CB,Amana
EC030-1VTC,FHP
EC0600-4VTC,FHP
PTC073G35AXXXBA,Amana
AZ38H12DABM2,General Electric
PTH124G35AXXXCA,Amana
PTH153D50ARDA,Amana
PTH132A35AA,Amana
PTH153E50AXXXAA,Amana
A4B568DAALQ1,General Electric
AZR209DBV3,General Electric
PDE12K3SC-B,Friedrich
PZH09R3SA,Friedrich
42VBC06HLCYACJEU,Carrier
PTC123B25AM,Amana
DRY093G35CXXX,Amana
52CQA312301AA,Carrier
LT1215CER,LG
PDHO9K3SG0-A,Friedrich
PTC093A35AA,Amana
PBC122E00BX,Amana
AJEQ12DCD,General Electric
814019ESSASSCOE,ClimateMaster
AZR209D8V1,General Electric
LP120CED1,LG
PTH093G50AXXXAB,Amana
ZA38H09DABM2,General Electric
AZ31H09D5CV1,General Electric
52PQB515331AA,Carrier
AZ31H15D5CV1,General Electric
PE09K3SA-1,Friedrich
PTHC1201GAA,Trane
UE08D11C,Friedrich
WA484-A00,Bard
EZ09A216F8C10AB,Islandaire
AZ31H09D2CV3,General Electric
AZ31H15D2CV5,General Electric
PBC122G00CB,Amana
AZ26E09DACV1,General Electric
AZ22E12D3PM3,General Electric
AZ28E12DACM1,General Electric
AZ61H07DABM2,General Electric
80109E-ROBSDACOA,ClimateMaster
CMHR12E000B000A,Retroaire
EZ12H88SAXA1AA,Islandaire
EZ12H88SAXA1AAA,Islandaire
EZ12H88SA1A1A1XCL,Islandaire
EZ12H88SA1A1AAV,Islandaire
80109E20BSDALOA,ClimateMaster
EZ12H88SA1A1IXY,Islandaire
EZ12H88SA1A1AIXLR,Islandaire
EZ12H88SAXA1AAY,Islandaire
EZ12H88SA1A1IVX,Islandaire
8RSZ09H4,Ice Air
12SPXR3-A,First Co.
7021E62ACC00S0E,ClimateMaster
PTHB-0901-GA,Trane
PTHB-0901-GB,Trane
PTC123E35CXXXAB,Amana
PTC123B35CMBP,Amana
PE07K3SB-3,Friedrich
PDE07K3SB-A,Friedrich
AJCS09DCAM1,General Electric
LW121RER,LG
PTA12G1AMBDC3SD,ClimateMaster
PTH093G35AXXXBA,Amana
WG5004Y4,GoldStar
WG5005RY6,GoldStar
EZ2609A5A1S44AA,Islandaire
52CEF307351AA,Carrier
PTHB1201GA,Trane
EZ09A2GSN1N44AA,Islandaire
VTH183E03AA,Amana
PTC123D35CRDA,Amana
MS8-HI-18P1A,Lennox
PE12K3SC-A,Friedrich
PTC123B35CM,Amana
MS8-HI-12P1A,Lennox
PTAC,McQuay
52SQC514301RC,Carrier
LP123CD3B,LG
LP123HD3A,LG
PTH153E25AXXXAC,Amana
PTC124G35AXXXBA,Amana
PTC154B35AE,Amana
PTHC1502GAA,Amana
PTH123G50AXXXCA,Amana
PTH093B35AC,Amana
PTC153G35CXXXAA,Amana
PTC153G35AXXXBA,Amana
12SPU3-P,First Co.
PTHC1502GAA,Trane
52MEBU12401AA,Carrier
AZ35H09E4BM1,General Electric
52CQC312451AA,Carrier
AZ32H09D3DM1,General Electric
AZ58H15DACM1,General Electric
AJEQ09DCF,General Electric
AJEQ10DCF,General Electric
EZ12A245F2A14AT,Islandaire
PTH073G35DXXXXAA,Goodman
PTC124G50AXXX,Amana
CP08G10A,Friedrich
PZH15K5SA,Friedrich
EX12A216F4A14AT,Islandaire
KCA183P,Carrier
PTHC1202GAA,Trane
AJJ10DFV4,General Electric
PBE123E35BXAA,Amana
AZ41E15DABM1,General Electric
AJEQ10DCFL1,General Electric
20804RK-05-2-EO-222,AAON
PTC123E35CXXXAC,Amana
CNRVP3017ACAAAAA,Carrier
PTH073G25AXXX,Amana
AJCQ10ACF,General Electric
EZ15A9CMGAA14AA,Islandaire
VTC123B05AA,Amana
AZ32H15D5BM2,General Electric
PTH093B35AK,Amana
LP090CED-Y8,LG
PTC153G50AXXXBA,Amana
PTC154G25AXXX,Amana
PTH153G35AXXXCA,Amana
52SQB312401AA,Carrier
V5E049AE,Trane
UE10D33C,Friedrich
PZE15K5SA,Friedrich
52CEA307301AA,Carrier
52BQC207401AA,Carrier
52SEC307301AA,Carrier
52SEE307301AA,Carrier
52SQD312301AA,Carrier
AZ39H12DABM1,General Electric
PBH092E12AXAA,Amana
PBE092A35A,Amana
FRP77ETV2R,Frigidaire
52SEC514301AA,Carrier
52CEE2073311AA,Carrier
52SEC207301AA,Carrier
LT0810CR,LG
PTC073R25AJ,Amana
MFZ-KA09NA,Mitsubishi
EZ12B2HQC1A10AT,Islandaire
EZ12H2HQC1A10AT,Islandaire
PTH123G35AXXXAB,Amana
AZ31H09E3CV3,General Electric
580.721243,Kenmore
PTC123G35CXXXAB,Amana
52BQA312311RC,Carrier
52CQB315331AA,Carrier
ESA412M,Haier
VTH093E03AA,Amana
18SPU5,First Co.
18SPU10,First Co.
12SPXR5-A,First Co.
PTC123D35AXXXAC,Amana
18SPU8,First Co.
18SPXR10-A,First Co.
52SQC312301RC,Carrier
12SPU5-P,First Co.
VTH243E03AA,Amana
VTH183E10AA,Amana
18SPXA8,First Co.
18SPX10,First Co.
PTH153G35CXXX,Amana
TRC09BGAAMSCFLS,ClimateMaster
TRC15BGCAMSCFLS,ClimateMaster
PTH153E25AXXXAA,Amana
18SPU6,First Co.
52CEA207331AA,Carrier
AE093G35AX,Amana
LP093HD3B,LG
PTH123F35AXXXAA,Amana
PTH154B35AM,Amana
PTH153B25AG,Amana
PTH094G25AXXX,Amana
PDE07K3SG,Friedrich
52BQA312301AA,Carrier
PTH094C35AXXXAB,Goodman
PTH073G35AXXXCA,Amana
PTH094B25AMBP,Amana
PTH123G35AXXXCA,Goodman
AZ32H07D3BM2,General Electric
PBH092E12BXAA,Amana
PTC123B50AE,Amana
PTC123A50AC,Amana
AZ29E15DAB,General Electric
PBE093G35CB,Amana
EZ09A7EDD1A10AC,Islandaire
2477815,Garrison
9M32PAE,Amana
52SEC514401AA,Carrier
52SED309411AA,Carrier
52SEC307401CP,Carrier
52CEC307441CP,Carrier
52SEC307451CP,Carrier
52SED307401RC,Carrier
52SED307401CP,Carrier
52SEC512401AA,Carrier
52CEB309331AA,Carrier
FRP77PTV2R,Frigidaire
PTH093G25AXXXCA,Amana
EZ12H2CSC1AXXDM,Islandaire
AZ22E07D3BM2,General Electric
12SPXR3-HP-A,First Co.
EZ09H2CSC1AXXDM,Islandaire
AJCQ10ACEH1,General Electric
EZ09B2CSC1A14AA,Islandaire
PTH124G25AXXX,Amana
AJEQ08ACF,General Electric
PBH092B12MB,Amana
LT1030CR,LG
102,Air Therm
PTC093D25ARDA,Amana
PTC123B35AMPBP,Amana
PBC092G00CB,Amana
LWHD1006R,LG
LT1010CR,LG
EZ12E2RMI8A14AA,Islandaire
790.8032231,Kenmore
LWHD8000R,LG
AJX08AFV1,General Electric
PTH12335J,Amana
12SPXR5-HP,First Co.
PTH15335G,Amana
PTH15350J,Amana
EZ12A9GSR1S44AA,Islandaire
PBC123G00CB,Amana
PTH153B35AW,Amana
THC07K34RTC,Friedrich
PTH123A25AB,Amana
52FEB312321EC,Carrier
18SPXR8-A,First Co.
AEL14AQL2,General Electric
PTH153G50AXXXCA,Amana
PTC173G35AXXAAC,Amana
AZ38H12DACM1,General Electric
PTC123B35AB,Amana
PTC12335B,Amana
PTC123D35AD,Amana
PTH093B25AI,Amana
AZ411E12VABW1,General Electric
LT1035HNR,LG
PTH122A25DB,Amana
PTH153A25AB,Amana
FFRE25L3Q2,Electrolux/Sanitaire.Eureka
0-C9742,Direct Supply Mfg.
EZ12H88SA1A1A-1XL,Islandaire
AJCQ10DCF,General Electric
80109E-LOBSDA-COA,ClimateMaster
EZDR09A7C1S45AA,Islandaire
EZ12H88SA1A1-AAA,Islandaire
EZ12H88SAXA1-AAV,Islandaire
EZ12H88SA1A1-IJX,Islandaire
80113E-LROBSDA-COA,ClimateMaster
80108E-ROBOOA-OOA,ClimateMaster
80110E-LOXOOA-OBB,ClimateMaster
EZ15AB16B1C10AA,Islandaire
80110E-LOBSDA-COB,ClimateMaster
EZ12E2EDF6A10XA,Islandaire
PTHD0901GAA,Trane
80117E-ROBSDA-COA,ClimateMaster
80110E-ROXOOA-OAB,ClimateMaster
EZ12H88,Islandaire
80109E-ROBOCA-DOA,ClimateMaster
PTH123335AKXXXAA,Amana
HBLG1003R,Hampton Bay
HBLG8004RB4,Hampton Bay
HBLG8003R,Hampton Bay
0-C9737,Direct Supply Mfg.
TEB15R50STA,Zoneaire
M6Q10F2A-E,Maytag
VTH123E0AA,Amana
PTH074G35AXXX,Amana
PT073A35AB,Amana
AJHS10DCCM1,General Electric
52CQE307351RC,Carrier
AZ32H09D5DM2,General Electric
AZ35H09DBM1,General Electric
AZ35H09D5DM1,General Electric
AZ35H09D5CM1,General Electric
AZ32H09D5DM5,General Electric
AZ35H15D5BM1,General Electric
M3X05F20-R,Maytag
AZ58H09EAC,General Electric
A238H15AABM1,General Electric
AJCS10DCC,General Electric
VHA24K50,Friedrich
EZ12A9JKF6A14AA,Islandaire
LW1011CR,LG
EZ09A2SCC1S14AA,Islandaire
PTH153B35AE,Amana
2477803,Garrison
THC07R25STC,Friedrich
PDH09R3SF,Friedrich
VPHP-15-D-32-BABA-0-B,Retroaire
AE183E35AX,Amana
LW1210ER,LG
0-C9738,Direct Supply Mfg.
PTH154G25AXXX,Amana
0-C9741,Direct Supply Mfg.
PDH07R2SC-A,Friedrich
EQ08N11,Friedrich
EQ08M11,Friedrich
EQ08N11C,Friedrich
PH07R2SB3,Friedrich
PDH07R2SB-A,Friedrich
CRSOC124-D14RZ,Comitale National Inc
AE123G35AX,Amana
MQE007C47HWSM2Y,McQuay
PTC123E35AXXXAB,Goodman
PTC123C35AMBP,Goodman
PTC123D35ARDA,Goodman
PTC123A35AB,Goodman
PTC123B35AMBP,Goodman
PTC093E35AXXXAB,Goodman
PTC153G35AXXXAA,Goodman
PTC153B35AJ,Goodman
PTC153E35AXXXAA,Goodman
2539751560,Kenmore
2539751562,Kenmore
AZ31H12EACV1,General Electric
RQ-006-8-V-EA09-734,AAON
RQ-005-8-V-EB09-732,AAON
RN-015-8-0-EB09-7F2,AAON
RQ-006-8-V-EB09-734,AAON
50HJQ006-601,Carrier
50HJQ007-601,Carrier
RKN09KEVJU5,Daikin
Unknown,Kenmore
MQE15EG2SM1F,McQuay
MQE12EG2SM1F,McQuay
LT1235HNR,LG
EZ12B2WMA1S14AA,Islandaire
FAH085P1T1,Frigidaire
FAH086J1T2,Frigidaire
FAH086S1T,Frigidaire
LT0813CNR,LG
LT0814CNR,LG
LT0815CER,LG
L103HNR,LG
PTC123G50AXXXBA,Amana
25370156000,Kenmore
PTH154A35AB,Amana
PTH124C35AMCA,Amana
25378156890,Kenmore
PTC153A35AB,Amana
57070,Jackson
EZ09B4LRA1S45AB,Islandaire
PTAC09B-265,McQuay
MQE09EG2SM1F,McQuay
MQE07EG2SM1F,McQuay
AZ21E09D2CV1,General Electric
AAC101SRA,Amana
WAC063H7A1,White Westinghouse
AZ35H12D5BM1,General Electric
12B265MXCA,Remington
0-C9739,Direct Supply Mfg.
2TWR2024A1000AB,Trane
25378156890,Sears
38CKB030510,Carrier
9M12TA,Amana
0-C9740,Direct Supply Mfg.
AJCS09DCC,General Electric
EZ12E216F8A10YB,Islandaire
AZ52H15DABM1,General Electric
HWC8R6009P30A1A,Armstrong Air
LP121HEM-Y8,LG
MSY-GE09NA,Mitsubishi
AZ41E09DABW1,General Electric
EZ12A2RMI8A14AA,Islandaire
S14B5W,Snyder General
EZ12E216F8LICJX,Islandaire
CCE15BECASSCSRS,ClimateMaster
LP073HD2B,LG
44A201A,General Electric
VPHP17D51DAEC0B,Retroaire
UE08C13,Friedrich
HAC048GKC4,ICP
PKA-A18HA,Mitsubishi
PBE093E35AXAA,Amana
52SQC514301AA,Carrier
52SQC307301AA,Carrier
HWC893609P18,Magic Pak
PTH13E50AXXX,Amana
10199127,Amana
52SQD309301AA,Carrier
PBC123A00MA,Amana
PTH093A35BC,Amana
VPHP24D51DAEC0C,Retroaire
THB15K34STA,Friedrich
LWHD1000CRY7,LG
PTC094A35AA,Amana
PTC094A35AC,Amana
EZ12EXEDF6A1CRY,Islandaire
LT1034HNR,LG
